Ibge;UF;name;longitude;latitude;region
1200179;AC;Capixaba;-676.735.079.719;-105.697.677.088;Vale do Acre
1200203;AC;Cruzeiro do Sul;-726.725.313.174;-7.630.690.005;Vale do Juru
1200252;AC;Epitaciolandia;-687.448.680.667;-11.028.239.828;Vale do Acre
1200302;AC;Feijo;-703.539.836.082;-816.024.753;Vale do Juru
1200328;AC;Jordao;-719.508.751.248;-91.933.578.598;Vale do Juru
1200336;AC;Mancio Lima;-729.165.010.261;-75.932.225.939;Vale do Juru
1200344;AC;Manoel Urbano;-692.599.445.775;-88.363.177.369;Vale do Acre
1200351;AC;Marechal Thaumaturgo;-727.902.659.087;-89.535.911.232;Vale do Juru
1200385;AC;Placido de Castro;-671.882.600.862;-103.351.332.827;Vale do Acre
1200393;AC;Porto Walter;-727.423.339.648;-82.666.663.628;Vale do Juru
1200401;AC;Rio Branco;-678.105.287.004;-99.782.987.527;Vale do Acre
1200427;AC;Rodrigues Alves;-726.478.549.142;-77.336.020.337;Vale do Juru
1200435;AC;Santa Rosa do Purus;-704.864.968.938;-94.434.065.374;Vale do Acre
1200450;AC;Senador Guiomard;-6.774.317.236;-101.481.735.862;Vale do Acre
1200500;AC;Sena Madureira;-686.556.840.617;-9.065.339.505;Vale do Acre
1200609;AC;Tarauaca;-707.555.010.629;-81.556.685.918;Vale do Juru
1200708;AC;Xapuri;-68.506.294.805;-106.520.719.403;Vale do Acre
1200807;AC;Porto Acre;-675.405.900.835;-96.008.582.312;Vale do Acre
1300029;AM;Alvaraes;-648.135.346.776;-32.165.837.691;Centro Amazonense
1300060;AM;Amatura;-682.096.146.409;-33.668.051.875;Sudoeste Amazonense
1300086;AM;Anama;-614.059.034.798;-35.763.704.269;Centro Amazonense
1300102;AM;Anori;-616.589.553.829;-37.453.855.861;Centro Amazonense
1300144;AM;Apui;-598.856.661.047;-71.978.701.516;Sul Amazonense
1300201;AM;Atalaia do Norte;-701.879.892.845;-43.661.574.897;Sudoeste Amazonense
1300300;AM;Autazes;-591.335.670.918;-35.786.636.418;Centro Amazonense
1300409;AM;Barcelos;-629.256.696.581;-0.9728010525;Norte Amazonense
1300508;AM;Barreirinha;-570.677.504.899;-27.981.498.369;Centro Amazonense
1300607;AM;Benjamin Constant;-700.273.484.333;-43.749.890.186;Sudoeste Amazonense
1300631;AM;Beruri;-613.715.708.917;-38.945.134.098;Centro Amazonense
1300680;AM;Boa Vista do Ramos;-575.877.073.465;-29.717.265.316;Centro Amazonense
1300706;AM;Boca do Acre;-673.995.777.567;-87.512.431.961;Sul Amazonense
1300805;AM;Borba;-595.945.590.195;-43.906.198.915;Sul Amazonense
1300839;AM;Caapiranga;-612.113.341.332;-33.300.933.919;Centro Amazonense
1300904;AM;Canutama;-643.942.308.189;-65.291.060.758;Sul Amazonense
1301001;AM;Carauari;-668.966.352.817;-48.816.659.042;Sudoeste Amazonense
1301100;AM;Careiro;-603.638.098.437;-382.244.727;Centro Amazonense
1301159;AM;Careiro da Varzea;-598.263.140.608;-31.973.965.949;Centro Amazonense
1301209;AM;Coari;-631.421.839.841;-40.842.191.588;Centro Amazonense
1301308;AM;Codajas;-620.634.296.605;-38.430.459.327;Centro Amazonense
1301407;AM;Eirunepe;-698.662.902.624;-66.673.525.669;Sudoeste Amazonense
1301506;AM;Envira;-70.030.412.543;-7.439.817.544;Sudoeste Amazonense
1301605;AM;Fonte Boa;-660.965.029.898;-25.122.706.845;Sudoeste Amazonense
1301654;AM;Guajara;-725.824.305.383;-75.477.744.148;Sudoeste Amazonense
1301704;AM;Humaita;-630.266.980.219;-75.122.249.506;Sul Amazonense
1301803;AM;Ipixuna;-716.944.180.603;-70.509.801.144;Sudoeste Amazonense
1301852;AM;Iranduba;-601.933.881.661;-32.810.538.776;Centro Amazonense
1301902;AM;Itacoatiara;-584.401.754.368;-31.403.788.039;Centro Amazonense
1301951;AM;Itamarati;-68.247.917.436;-64.377.993.486;Sudoeste Amazonense
1302009;AM;Itapiranga;-58.034.545.884;-27.418.427.523;Centro Amazonense
1302108;AM;Japura;-669.969.034.946;-18.808.448.587;Norte Amazonense
1302207;AM;Jurua;-660.630.419.255;-34.748.895.989;Sudoeste Amazonense
1302306;AM;Jutai;-667.713.275.467;-27.446.464.469;Sudoeste Amazonense
1302405;AM;Labrea;-647.947.730.275;-72.619.465.533;Sul Amazonense
1302504;AM;Manacapuru;-606.205.894.459;-32.982.780.355;Centro Amazonense
1302553;AM;Manaquiri;-604.588.813.064;-34.290.796.694;Centro Amazonense
1302603;AM;Manaus;-600.233.351.811;-31.346.914.912;Centro Amazonense
1302702;AM;Manicore;-612.992.484.089;-58.132.052.612;Sul Amazonense
1302801;AM;Maraa;-655.742.837.032;-18.664.368.773;Norte Amazonense
1302900;AM;Maues;-577.150.343.868;-33.864.279.262;Centro Amazonense
1303007;AM;Nhamunda;-567.167.699.133;-21.889.837.669;Centro Amazonense
1303106;AM;Nova Olinda do Norte;-59.093.074.026;-38.875.928.319;Centro Amazonense
1303205;AM;Novo Airao;-609.488.107.078;-2.623.432.459;Norte Amazonense
1303304;AM;Novo Aripuana;-60.377.045.669;-51.226.693.142;Sul Amazonense
1303403;AM;Parintins;-567.362.921.452;-26.270.525.858;Centro Amazonense
1303502;AM;Pauini;-670.020.974.885;-77.140.436.443;Sul Amazonense
1303536;AM;Presidente Figueiredo;-600.256.468.345;-20.584.290.852;Centro Amazonense
1303569;AM;Rio Preto da Eva;-597.047.380.942;-26.933.015.416;Centro Amazonense
1303601;AM;Santa Isabel do Rio Negro;-650.200.226.395;-0.4166948319;Norte Amazonense
1303700;AM;Santo Antonio do Ica;-679.464.851.439;-31.074.863.092;Sudoeste Amazonense
1303809;AM;Sao Gabriel da Cachoeira;-670.836.428.963;-0.1364627881;Norte Amazonense
1303908;AM;Sao Paulo de Olivenca;-689.448.534.881;-34.665.096.235;Sudoeste Amazonense
1303957;AM;Sao Sebastiao do Uatuma;-578.703.463.558;-25.701.525.797;Centro Amazonense
1304005;AM;Silves;-582.148.008.608;-28.364.274.297;Centro Amazonense
1304062;AM;Tabatinga;-699.462.443.752;-42.318.836.756;Sudoeste Amazonense
1304104;AM;Tapaua;-631.870.948.672;-56.242.235.178;Sul Amazonense
1304203;AM;Tefe;-647.084.196.633;-33.483.724.939;Centro Amazonense
1304237;AM;Tonantins;-677.764.822.807;-28.610.912.498;Sudoeste Amazonense
1304260;AM;Uarini;-651.553.456.402;-29.836.092.427;Centro Amazonense
1304302;AM;Urucara;-577.598.281.746;-25.366.116.718;Centro Amazonense
1304401;AM;Urucurituba;-581.596.410.413;-31.346.331.156;Centro Amazonense
1400027;RR;Amajari;-614.205.901.727;36.521.184.454;Norte de Roraima
1400050;RR;Alto Alegre;-613.140.223.901;29.938.229.477;Norte de Roraima
1400100;RR;Boa Vista;-60.670.532.673;28.166.819.191;Norte de Roraima
1400159;RR;Bonfim;-598.780.066.289;33.502.886.191;Norte de Roraima
1400175;RR;Canta;-606.020.628.476;26.076.663.984;Norte de Roraima
1400209;RR;Caracarai;-611.491.768.701;18.038.712.473;Sul de Roraima
1400233;RR;Caroebe;-596.948.100.737;0.8726745072;Sul de Roraima
1400282;RR;Iracema;-61.052.258.585;21.682.147.652;Sul de Roraima
1400308;RR;Mucajai;-609.115.185.306;24.797.722.351;Sul de Roraima
1400407;RR;Normandia;-596.352.062.836;38.829.782.853;Norte de Roraima
1400456;RR;Pacaraima;-611.473.063.471;44.752.593.402;Norte de Roraima
1400472;RR;Rorainopolis;-60.425.060.494;0.9371953936;Sul de Roraima
1400506;RR;Sao Joao da Baliza;-599.060.443.452;0.9471574275;Sul de Roraima
1400605;RR;Sao Luiz;-600.282.667.742;10.181.116.274;Sul de Roraima
1400704;RR;Uiramuta;-60.195.716.148;45.854.403.875;Norte de Roraima
1500107;PA;Abaetetuba;-488.844.038.207;-17.234.698.628;Nordeste Paraense
1500131;PA;Abel Figueiredo;-483.967.621.258;-49.513.908.955;Sudeste Paraense
1500206;PA;Acara;-482.004.564.318;-19.634.365;Nordeste Paraense
1500305;PA;Afua;-503.914.275.892;-0.1591716938;Maraj
1500347;PA;Agua Azul do Norte;-504.852.745.073;-68.049.488.674;Sudeste Paraense
1500404;PA;Alenquer;-547.408.623.502;-1.951.397.505;Baixo Amazonas
1500503;PA;Almeirim;-525.768.350.868;-15.273.388.028;Baixo Amazonas
1500602;PA;Altamira;-522.143.763.052;-320.565.951;Sudoeste Paraense
1500701;PA;Anajas;-499.450.010.405;-0.984451394;Maraj
1500800;PA;Ananindeua;-483.720.666.542;-13.687.135.683;Metropolitana de Belm
1500859;PA;Anapu;-512.016.217.985;-34.761.046.351;Sudoeste Paraense
1500909;PA;Augusto Correa;-466.416.457.857;-102.292.101;Nordeste Paraense
1500958;PA;Aurora do Para;-475.561.746.036;-21.293.760.132;Nordeste Paraense
1501006;PA;Aveiro;-553.307.343.898;-36.055.952.593;Sudoeste Paraense
1501105;PA;Bagre;-502.219.869.206;-18.898.080.604;Maraj
1501204;PA;Baiao;-496.727.533.733;-27.919.618.614;Nordeste Paraense
1501253;PA;Bannach;-504.060.471.215;-73.510.721.924;Sudeste Paraense
1501303;PA;Barcarena;-486.270.728.925;-1.505.767.005;Metropolitana de Belm
1501402;PA;Belem;-484.878.256.875;-1.459.845;Metropolitana de Belm
1501451;PA;Belterra;-549.426.747.393;-26.490.201.695;Baixo Amazonas
1501501;PA;Benevides;-482.418.364.506;-1.361.437.515;Metropolitana de Belm
1501576;PA;Bom Jesus do Tocantins;-485.990.399.591;-50.473.627.043;Sudeste Paraense
1501600;PA;Bonito;-473.058.918.169;-13.674.743.569;Nordeste Paraense
1501709;PA;Braganca;-467.657.542.137;-10.535.239.562;Nordeste Paraense
1501725;PA;Brasil Novo;-525.434.411.923;-3.297.803.704;Sudoeste Paraense
1501758;PA;Brejo Grande do Araguaia;-484.057.604.224;-57.072.961.538;Sudeste Paraense
1501782;PA;Breu Branco;-495.698.796.833;-37.781.354.129;Sudeste Paraense
1501808;PA;Breves;-50.480.894.799;-16.907.365;Maraj
1501907;PA;Bujaru;-480.358.750.144;-15.139.914.623;Metropolitana de Belm
1501956;PA;Cachoeira do Piria;-465.473.914.166;-17.528.970.049;Nordeste Paraense
1502004;PA;Cachoeira do Arari;-489.606.675.774;-10.087.862.656;Maraj
1502103;PA;Cameta;-49.497.830.169;-224.683.848;Nordeste Paraense
1502152;PA;Canaa dos Carajas;-498.489.584.319;-65.321.966.156;Sudeste Paraense
1502202;PA;Capanema;-471.751.261.231;-1.192.441.995;Nordeste Paraense
1502301;PA;Capitao Poco;-470.628.253.774;-17.461.872.932;Nordeste Paraense
1502400;PA;Castanhal;-479.266.431.419;-1.295.756.805;Metropolitana de Belm
1502509;PA;Chaves;-499.893.186.051;-0.1624372901;Maraj
1502608;PA;Colares;-482.887.284.319;-0.932091244;Nordeste Paraense
1502707;PA;Conceicao do Araguaia;-492.645.008.125;-826.486.353;Sudeste Paraense
1502756;PA;Concordia do Para;-47.949.886.939;-19.845.214.628;Nordeste Paraense
1502764;PA;Cumaru do Norte;-507.715.783.775;-78.111.065.369;Sudeste Paraense
1502772;PA;Curionopolis;-49.602.214.225;-60.968.199.522;Sudeste Paraense
1502806;PA;Curralinho;-497.915.228.471;-18.094.234.197;Maraj
1502855;PA;Curua;-551.196.786.087;-18.899.287.043;Baixo Amazonas
1502905;PA;Curuca;-478.512.650.859;-0.73249551;Nordeste Paraense
1502939;PA;Dom Eliseu;-47.555.914.886;-429.077.772;Sudeste Paraense
1502954;PA;Eldorado dos Carajas;-493.739.519.422;-61.035.251.611;Sudeste Paraense
1503002;PA;Faro;-567.457.530.173;-21.729.752.419;Baixo Amazonas
1503044;PA;Floresta do Araguaia;-496.975.784.122;-75.587.008.724;Sudeste Paraense
1503077;PA;Garrafao do Norte;-470.450.460.173;-19.316.970.431;Nordeste Paraense
1503093;PA;Goianesia do Para;-491.010.449.237;-3.842.468;Sudeste Paraense
1503101;PA;Gurupa;-516.436.957.234;-1.404.918;Maraj
1503200;PA;Igarape-Acu;-47.622.375.492;-1.124.322;Nordeste Paraense
1503309;PA;Igarape-Miri;-489.622.994.689;-1.983.116;Nordeste Paraense
1503408;PA;Inhangapi;-479.133.927.466;-14.265.819.809;Metropolitana de Belm
1503457;PA;Ipixuna do Para;-474.997.175.888;-25.575.285;Nordeste Paraense
1503507;PA;Irituia;-474.407.556.128;-1.771.474.995;Nordeste Paraense
1503606;PA;Itaituba;-559.900.488.573;-426.372.948;Sudoeste Paraense
1503705;PA;Itupiranga;-493.244.258.613;-51.288.370.264;Sudeste Paraense
1503754;PA;Jacareacanga;-577.663.398.584;-62.235.517.314;Sudoeste Paraense
1503804;PA;Jacunda;-491.127.815.626;-4.448.405.475;Sudeste Paraense
1503903;PA;Juruti;-560.949.976.884;-2.155.252.995;Baixo Amazonas
1504000;PA;Limoeiro do Ajuru;-493.815.339.012;-18.919.485;Nordeste Paraense
1504059;PA;Mae do Rio;-475.522.901.795;-20.477.074.408;Nordeste Paraense
1504109;PA;Magalhaes Barata;-475.991.818.965;-0.795850156;Nordeste Paraense
1504208;PA;Maraba;-491.420.253.334;-53.526.057.631;Sudeste Paraense
1504307;PA;Maracana;-474.552.679.594;-0.76241946;Nordeste Paraense
1504406;PA;Marapanim;-477.025.487.538;-0.7121509963;Nordeste Paraense
1504422;PA;Marituba;-483.405.358.778;-13.464.172.656;Metropolitana de Belm
1504455;PA;Medicilandia;-528.883.453.507;-34.454.174.122;Sudoeste Paraense
1504505;PA;Melgaco;-507.174.646.977;-18.034.466.986;Maraj
1504604;PA;Mocajuba;-495.090.234.613;-25.828.729.733;Nordeste Paraense
1504703;PA;Moju;-487.671.991.274;-1.885.889;Nordeste Paraense
1504802;PA;Monte Alegre;-540.733.747.256;-2.003.328;Baixo Amazonas
1504901;PA;Muana;-492.168.324.425;-15.300.262.084;Maraj
1504950;PA;Nova Esperanca do Piria;-469.620.928.837;-2.267.625.989;Nordeste Paraense
1504976;PA;Nova Ipixuna;-49.079.886.938;-4.923.086.307;Sudeste Paraense
1505007;PA;Nova Timboteua;-473.932.022.765;-12.041.436.475;Nordeste Paraense
1505031;PA;Novo Progresso;-55.419.870.118;-70.348.359.133;Sudoeste Paraense
1505064;PA;Novo Repartimento;-499.486.382.443;-42.481.485;Sudeste Paraense
1505106;PA;Obidos;-555.163.235.097;-19.092.354.959;Baixo Amazonas
1505205;PA;Oeiras do Para;-498.551.061.088;-2.004.734;Nordeste Paraense
1505304;PA;Oriximina;-558.627.995.152;-17.637.535;Baixo Amazonas
1505403;PA;Ourem;-471.176.193.629;-15.489.471.423;Nordeste Paraense
1505437;PA;Ourilandia do Norte;-510.908.327.747;-67.406.170.864;Sudeste Paraense
1505486;PA;Pacaja;-506.348.408.304;-38.303.057.038;Sudoeste Paraense
1505494;PA;Palestina do Para;-483.217.937.262;-57.499.341.062;Sudeste Paraense
1505502;PA;Paragominas;-473.569.615.611;-29.941.905;Sudeste Paraense
1505536;PA;Parauapebas;-499.007.806.343;-60.727.298.876;Sudeste Paraense
1505551;PA;Pau D'Arco;-500.482.755.319;-7.836.794.404;Sudeste Paraense
1505601;PA;Peixe-Boi;-473.179.270.216;-11.895.692.408;Nordeste Paraense
1505635;PA;Picarra;-488.684.006.672;-64.536.762.346;Sudeste Paraense
1505650;PA;Placas;-542.169.681.313;-38.673.155.621;Baixo Amazonas
1505700;PA;Ponta de Pedras;-4.887.178.556;-13.965.999.975;Maraj
1505809;PA;Portel;-508.224.904.422;-1.936.451;Maraj
1505908;PA;Porto de Moz;-52.242.476.919;-17.460.900.888;Baixo Amazonas
1506005;PA;Prainha;-534.818.139.408;-18.056.945;Baixo Amazonas
1506104;PA;Primavera;-471.172.512.589;-0.9401115159;Nordeste Paraense
1506112;PA;Quatipuru;-470.067.869.936;-0.9001158537;Nordeste Paraense
1506138;PA;Redencao;-500.296.418.255;-80.276.045;Sudeste Paraense
1506161;PA;Rio Maria;-500.464.108.775;-73.111.152.447;Sudeste Paraense
1506187;PA;Rondon do Para;-480.699.737.494;-4.777.821.727;Sudeste Paraense
1506195;PA;Ruropolis;-549.058.622.599;-409.906.539;Sudoeste Paraense
1506203;PA;Salinopolis;-473.531.202.632;-0.623638;Nordeste Paraense
1506302;PA;Salvaterra;-485.131.865.994;-0.7545259744;Maraj
1506351;PA;Santa Barbara do Para;-482.977.406.498;-1.229.439.467;Metropolitana de Belm
1506401;PA;Santa Cruz do Arari;-491.716.155.661;-0.6599741256;Maraj
1506500;PA;Santa Isabel do Para;-48.163.059.941;-12.973.959.013;Metropolitana de Belm
1506559;PA;Santa Luzia do Para;-469.061.692.027;-15.188.278.914;Nordeste Paraense
1506583;PA;Santa Maria das Barreiras;-497.193.518.572;-88.705.505.397;Sudeste Paraense
1506609;PA;Santa Maria do Para;-475.746.954.138;-13.478.664.593;Nordeste Paraense
1506708;PA;Santana do Araguaia;-503.448.043.211;-9.329.424.525;Sudeste Paraense
1506807;PA;Santarem;-547.185.701.673;-243.621.333;Baixo Amazonas
1506906;PA;Santarem Novo;-474.009.247.449;-0.9287195358;Nordeste Paraense
1507003;PA;Santo Antonio do Taua;-481.324.330.748;-11.516.925;Metropolitana de Belm
1507102;PA;Sao Caetano de Odivelas;-480.258.054.981;-0.74661776;Nordeste Paraense
1507151;PA;Sao Domingos do Araguaia;-487.203.734.108;-5.549.841;Sudeste Paraense
1507201;PA;Sao Domingos do Capim;-477.747.845.692;-16.758.145;Nordeste Paraense
1507300;PA;Sao Felix do Xingu;-51.993.782.524;-66.424.832.783;Sudeste Paraense
1507409;PA;Sao Francisco do Para;-477.905.146.107;-11.701.887.847;Nordeste Paraense
1507458;PA;Sao Geraldo do Araguaia;-485.557.124.862;-639.895.797;Sudeste Paraense
1507466;PA;Sao Joao da Ponta;-479.207.241.656;-0.8510021453;Nordeste Paraense
1507474;PA;Sao Joao de Pirabas;-471.726.742.979;-0.7664425315;Nordeste Paraense
1507508;PA;Sao Joao do Araguaia;-48.788.633.402;-53.590.027.244;Sudeste Paraense
1507607;PA;Sao Miguel do Guama;-474.824.089.445;-16.171.359.145;Nordeste Paraense
1507706;PA;Sao Sebastiao da Boa Vista;-495.323.121.746;-17.188.505;Maraj
1507755;PA;Sapucaia;-497.035.807.119;-69.428.571.126;Sudeste Paraense
1507805;PA;Senador Jose Porfirio;-51.953.056.418;-25.948.504.183;Sudoeste Paraense
1507904;PA;Soure;-485.160.126.623;-0.7259255;Maraj
1507953;PA;Tailandia;-489.512.816.296;-29.370.795;Nordeste Paraense
1507961;PA;Terra Alta;-479.078.083.484;-10.348.266.636;Nordeste Paraense
1507979;PA;Terra Santa;-564.909.047.722;-21.081.144.737;Baixo Amazonas
1508001;PA;Tome-Acu;-481.468.965.866;-24.193.668.553;Nordeste Paraense
1508035;PA;Tracuateua;-468.994.783.371;-10.687.840.586;Nordeste Paraense
1508050;PA;Trairao;-559.961.700.349;-46.998.191.497;Sudoeste Paraense
1508084;PA;Tucuma;-511.395.392.466;-67.499.720.074;Sudeste Paraense
1508100;PA;Tucurui;-496.671.843.672;-37.668.890.843;Sudeste Paraense
1508126;PA;Ulianopolis;-47.503.144.755;-375.719.301;Sudeste Paraense
1508159;PA;Uruara;-537.370.310.505;-37.065.285;Sudoeste Paraense
1508209;PA;Vigia;-481.414.985.852;-0.8555325737;Nordeste Paraense
1508308;PA;Viseu;-461.387.652.161;-12.032.785.267;Nordeste Paraense
1508357;PA;Vitoria do Xingu;-520.112.603.538;-28.837.657.102;Sudoeste Paraense
1508407;PA;Xinguara;-499.427.005.844;-71.015.128.271;Sudeste Paraense
1600055;AP;Serra do Navio;-520.035.384.353;0.897841041;Sul do Amap
1600105;AP;Amapa;-507.932.144.703;20.539.212.447;Norte do Amap
1600154;AP;Pedra Branca do Amapari;-519.465.942.733;0.7768828606;Sul do Amap
1600204;AP;Calcoene;-509.447.727.343;24.965.590.446;Norte do Amap
1600212;AP;Cutias;-508.016.260.299;0.9710780554;Sul do Amap
1600238;AP;Ferreira Gomes;-51.187.429.046;0.8539773931;Sul do Amap
1600253;AP;Itaubal;-507.001.794.374;0.6006532883;Sul do Amap
1600279;AP;Laranjal do Jari;-525.390.207.369;-0.8556645;Sul do Amap
1600303;AP;Macapa;-51.057.405.457;0.03895101;Sul do Amap
1600402;AP;Mazagao;-512.860.768.561;-0.1243963288;Sul do Amap
1600501;AP;Oiapoque;-518.305.525.553;38.511.307.326;Norte do Amap
1600535;AP;Porto Grande;-51.414.448.823;0.7125547018;Sul do Amap
1600550;AP;Pracuuba;-507.842.537.213;17.425.084.871;Norte do Amap
1600600;AP;Santana;-511.728.464.651;-0.0383734791;Sul do Amap
1600709;AP;Tartarugalzinho;-509.127.861.523;15.098.482.403;Norte do Amap
1600808;AP;Vitoria do Jari;-524.196.147.796;-0.9189770885;Sul do Amap
1700251;TO;Abreulandia;-491.624.375.555;-9.621.790.712;Ocidental do Tocantins
1700301;TO;Aguiarnopolis;-474.704.565.879;-65.471.708.206;Ocidental do Tocantins
1700350;TO;Alianca do Tocantins;-489.412.400.221;-113.037.430.465;Ocidental do Tocantins
1700400;TO;Almas;-471.741.716.842;-115.745.234.694;Oriental do Tocantins
1700707;TO;Alvorada;-491.268.114.067;-124.788.153.208;Ocidental do Tocantins
1701002;TO;Ananas;-480.797.646.062;-63.628.181.541;Ocidental do Tocantins
1701051;TO;Angico;-478.620.778.392;-63.877.527.497;Ocidental do Tocantins
1701101;TO;Aparecida do Rio Negro;-479.766.700.114;-99.558.777.146;Oriental do Tocantins
1701309;TO;Aragominas;-485.234.301.923;-71.643.492.714;Ocidental do Tocantins
1701903;TO;Araguacema;-495.618.126.396;-88.018.025.441;Ocidental do Tocantins
1702000;TO;Araguacu;-498.286.124.433;-129.255.837.119;Ocidental do Tocantins
1702109;TO;Araguaina;-482.087.052.519;-71.913.289.397;Ocidental do Tocantins
1702158;TO;Araguana;-486.437.495.469;-658.224.942;Ocidental do Tocantins
1702208;TO;Araguatins;-48.123.507.343;-5.650.586.473;Ocidental do Tocantins
1702307;TO;Arapoema;-490.756.373.853;-76.525.697.354;Ocidental do Tocantins
1702406;TO;Arraias;-469.461.070.586;-129.344.198.593;Oriental do Tocantins
1702554;TO;Augustinopolis;-47.880.956.791;-54.654.142.959;Ocidental do Tocantins
1702703;TO;Aurora do Tocantins;-464.070.829.809;-127.084.898.611;Oriental do Tocantins
1702901;TO;Axixa do Tocantins;-477.741.560.325;-56.243.090.659;Ocidental do Tocantins
1703008;TO;Babaculandia;-47.758.816.127;-72.018.645.321;Ocidental do Tocantins
1703057;TO;Bandeirantes do Tocantins;-485.783.806.049;-77.648.591.413;Ocidental do Tocantins
1703073;TO;Barra do Ouro;-476.871.349.692;-76.917.665.987;Oriental do Tocantins
